requirement_id,function_ids,way,note
R-95,create_progress_claim;draft_progress_claim;submit_progress_claim;reject_progress_claim,link_draft_l2,"Billing claims through a link are proposals a signed-in person confirms (owner decision PMD-41): a claim is created for a BOQ of the project and a customer the project bills, then moved to drafted, submitted or queried. All four are level 2, money sensitive, manager rank. Approving a claim (it records the customer's own decision) and invoicing one have no function."
R-97,submit_change_order_for_approval,link_draft_l2,"Sends a draft change order to e-signature for the named external signers (names and e-mail addresses checked, at most 10, signing tokens never returned). Level 2, manager rank. Approval itself stays the signers' own e-signature: no function marks a change order approved or rejected."
EXC-ITEM-05,submit_change_order_for_approval,link_draft_l2,"Capture side of 'approvals stuck': a change order that sits in draft can be sent for approval. The read side is get_project_exceptions."
R-98,submit_boq_for_approval,link_draft_l2,"A draft BOQ (including a revision made from a change order) is submitted for approval. Level 2, manager rank. Approving it stays with the person."
EXC-ITEM-07,submit_boq_for_approval,link_draft_l2,"Capture side of 'work without an approved BOQ': the BOQ can be submitted; approving it (approve_boq) has no function and stays with the person."
R-C11,submit_kpi_entry;approve_kpi_entry,link_draft_l2,"KPI values for the project's own KPIs: submitted at rank 2 (the value is null in the answer below the manager rank), approved at rank 3 by a person other than the submitter. Organisation-wide KPIs cannot be written from a project link. The report rows themselves are run_named_report (wave 1)."
R-C01,create_permit,link_write_l1,"Permit register entry: name, permit number, authority, issue date and end date, stored as a link to an https address (bytes are not uploaded through a link). Drops the dashboard's permits-expiring cache like the permits route."
R-C03,update_document_metadata,link_write_l1,"Fix a project document's name, category or expiry date. A document is never re-linked to another project and its metadata is not patched."
R-C02,update_document_metadata,link_write_l1,"Rename a drawing or change its expiry date; drawing number, revision and status are set when the drawing is created (create_drawing, wave 5)."
R-C16,create_wiki_page;update_wiki_page,link_write_l1,"Project wiki pages (plain text, 2000 characters through a link): create with an optional parent page of the same project, edit title and text (version goes up). Archiving stays with the person."
