kind,id,description,runs_on,max_usd_per_call,max_calls_per_month,max_usd_per_month,vercel_billed,basis
path,X-01,Read every sheet of an uploaded xlsx and map headers (no model call),supabase_edge,0.00,2000,0.00,no,Pure parsing inside the projexa-document-extract Edge Function (U-36); no provider is called
path,X-02,Model call that turns extracted cells into a project and BOQ proposal,supabase_edge,0.00,0,0.00,no,PMD-02 and OQ-09: claude-cli cannot run on Edge and openrouter is metered so no paid provider is allowed until the owner names one (BR-509); until then only the mocked model runs (BR-506 and BR-507). A ceiling of 0.00 means any real call is a violation
path,X-03,POST projects/from-document receiving the upload and reusing createProject() and createBoq(),vercel_function,0.00,0,0.00,yes,Not deployed while Vercel is locked (PROJEXA-COST-001); when the owner releases a deploy the invocation cost must be measured (BR-510 and BR-504) before this line may be raised above 0.00
path,X-04,Scheduler bridge run (pg_cron then Edge then runSubmission as the schedule owner),supabase_edge,0.00,0,0.00,no,Produces a proposal (PMD-05); level 1 stays off on this path so no internal model call is made
path,X-05,"AI work link calls (manual, OpenAPI, MCP and REST endpoints on Supabase Edge)",supabase_edge,0.00,0,0.00,no,The AI at the other end does the reasoning on its own account (PMD-16 and the link spec); the server makes zero model calls (BR-131)
path,X-06,Email bridge attachment read and promote to a proposal,supabase_edge,0.00,0,0.00,no,No model call; the parse runs in an Edge Function and the result is a proposal (PMD-05)
vercel_component,V-01,Vercel Pro team seat,vercel,,,20.00,yes,A08: Pro 0.645161 per day = 20.00 per 31-day month on gross charges; the only non-zero line while the three below stay zero
vercel_component,V-02,Speed Insights Plus team subscription,vercel,,,0.00,yes,A08 and PMD-11: both project toggles disabled 2026-09-24 and the team subscription cancellation is effective 2026-09-26 07:00 UTC
vercel_component,V-03,Build CPU minutes,vercel,,,0.00,yes,Both vercel.json files carry an ignoreCommand that exits 0 on every ref and the crons drift guard is merged: no build proceeds until the owner releases a deploy (A08 shows 0.00 on every day 2026-09-20 to 2026-09-25)
vercel_component,V-04,Function invocations and other usage,vercel,,,0.00,yes,No deployment is live (both projects live=false); measured again over 30 days after go-live (BR-504)
