repo,kind,routePath,file,lines,dynamicSegments,parallelSlot,hasGenerateStaticParams,gspCovered,useClient,useServerFile,useServerInline,nextHeadersImports,redirectCalls,redirectImportedFromNextNavigation,notFoundCalls,exportDynamic,exportRevalidate,exportRuntime,exportFetchCache,exportDynamicParams,usesUnstableCache,usesAfter,usesNoStoreOrConnection,readsSearchParamsProp,httpMethods,requestReads,apiFetchTargets,veridianCalls,importsNextIntlServer,reexportDefault,transitiveNextHeadersVia,transitiveUseServerVia,transitiveNextIntlServerVia,forceStatic,ownBlockers,inheritedBlockers,inheritedFrom,neutralizedByForceStatic,effectiveBlockers,exportable
projexa,page,/accounting/companies/new,src/app/(app)/accounting/companies/new/page.tsx,12,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,,,,,false,false,,,,false,,NEXT_HEADERS_TRANSITIVE,src/app/layout.tsx,,NEXT_HEADERS_TRANSITIVE,false
projexa,page,/accounting/journal-entries/[id],src/app/(app)/accounting/journal-entries/[id]/page.tsx,14,[id],,false,false,false,false,false,,0,false,0,,,,,,false,false,false,false,,,,,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP,NEXT_HEADERS_TRANSITIVE,src/app/layout.tsx,,DYNAMIC_SEGMENT_NO_GSP|NEXT_HEADERS_TRANSITIVE,false
projexa,page,/accounting/journal-entries/new,src/app/(app)/accounting/journal-entries/new/page.tsx,12,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,false,,,,,false,false,,,,false,,NEXT_HEADERS_TRANSITIVE,src/app/layout.tsx,,NEXT_HEADERS_TRANSITIVE,false
projexa,page,/accounting,src/app/(app)/accounting/page.tsx,20,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,true,,,,,false,false,,,,false,SEARCH_PARAMS_PROP,NEXT_HEADERS_TRANSITIVE,src/app/layout.tsx,,SEARCH_PARAMS_PROP|NEXT_HEADERS_TRANSITIVE,false
projexa,page,/analysis/exceptions,src/app/(app)/analysis/exceptions/page.tsx,32,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,true,,,,,false,false,src/lib/project-selection.ts (depth 1),,,false,SEARCH_PARAMS_PROP|NEXT_HEADERS_TRANSITIVE,NEXT_HEADERS_TRANSITIVE,src/app/layout.tsx,,SEARCH_PARAMS_PROP|NEXT_HEADERS_TRANSITIVE,false
projexa,page,/analysis,src/app/(app)/analysis/page.tsx,50,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,true,,,,,false,false,src/lib/project-selection.ts (depth 1),,,false,SEARCH_PARAMS_PROP|NEXT_HEADERS_TRANSITIVE,NEXT_HEADERS_TRANSITIVE,src/app/layout.tsx,,SEARCH_PARAMS_PROP|NEXT_HEADERS_TRANSITIVE,false
projexa,page,/analysis/project-360,src/app/(app)/analysis/project-360/page.tsx,33,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,true,,,,,false,false,src/lib/project-selection.ts (depth 1),,,false,SEARCH_PARAMS_PROP|NEXT_HEADERS_TRANSITIVE,NEXT_HEADERS_TRANSITIVE,src/app/layout.tsx,,SEARCH_PARAMS_PROP|NEXT_HEADERS_TRANSITIVE,false
projexa,page,/billing-milestones,src/app/(app)/billing-milestones/page.tsx,32,,,false,true,false,false,false,,0,false,0,,,,,,false,false,false,true,,,,,false,false,src/lib/project-selection.ts (depth 1),,,false,SEARCH_PARAMS_PROP|NEXT_HEADERS_TRANSITIVE,NEXT_HEADERS_TRANSITIVE,src/app/layout.tsx,,SEARCH_PARAMS_PROP|NEXT_HEADERS_TRANSITIVE,false
projexa,page,/budgets/[id],src/app/(app)/budgets/[id]/page.tsx,9,[id],,false,false,false,false,false,,1,true,0,,,,,,false,false,false,false,,,,,false,false,,,,false,DYNAMIC_SEGMENT_NO_GSP|REDIRECT_IN_SERVER_COMPONENT,NEXT_HEADERS_TRANSITIVE,src/app/layout.tsx,,DYNAMIC_SEGMENT_NO_GSP|REDIRECT_IN_SERVER_COMPONENT|NEXT_HEADERS_TRANSITIVE,false
projexa,page,/budgets/new,src/app/(app)/budgets/new/page.tsx,20,,,false,true,false,false,false,,1,true,0,,,,,,false,false,false,true,,,,,false,false,,,,false,REDIRECT_IN_SERVER_COMPONENT|SEARCH_PARAMS_PROP,NEXT_HEADERS_TRANSITIVE,src/app/layout.tsx,,REDIRECT_IN_SERVER_COMPONENT|SEARCH_PARAMS_PROP|NEXT_HEADERS_TRANSITIVE,false
