id,phase,title,source,verify_command,expected_output,status,evidence_ref,owner_blocked
BR-101,1,[ENTRY] Amendment log AMENDMENT_LOG_BUILD-001.md exists and is non-empty,U-00;WO-S1,test -s ai-os/projexa-build-001/AMENDMENT_LOG_BUILD-001.md,EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-102,1,BUILD-001 claim present in ai-os/boss/ACTIVE-CLAIMS.yaml on main,U-00;AGENTS-R11;M-A12-6,"test ""$(git grep -c -F 'BUILD-001' -- ai-os/boss/ACTIVE-CLAIMS.yaml | awk -F: '{s+=$2} END {print (s>0)}')"" = ""1""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-103,1,Credential-exposure report and secret-purge runbook both return HTTP 404 on the public raw URL,U-00;T-2;WO-S11;F-A11-5;C12,"test ""$(curl -s -o /dev/null -w '%{http_code}' https://raw.githubusercontent.com/FChecklist/compliance-tracker/main/ai-os/OCID-056-CREDENTIAL-EXPOSURE-REPORT.md)"" = ""404"" && test ""$(curl -s -o /dev/null -w '%{http_code}' https://raw.githubusercontent.com/FChecklist/compliance-tracker/main/docs/R81_SECRET_HISTORY_PURGE_RUNBOOK.md)"" = ""404""",EXIT 0,pass,cfd14a40 (PR#1833); HTTP 2026-09-25: 404 and 404,no
BR-104,1,"Plan documents PM_DECISIONS.md, OWNER_QUESTIONS.md, MASTER_PLAN.md, DEV_TEST_DEPLOY_PLAN.md committed and non-empty",U-05;D-03;D-04;PMD-21;PMD-11,test -s ai-os/projexa-build-001/PM_DECISIONS.md && test -s ai-os/projexa-build-001/OWNER_QUESTIONS.md && test -s ai-os/projexa-build-001/MASTER_PLAN.md && test -s ai-os/projexa-build-001/DEV_TEST_DEPLOY_PLAN.md,EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-105,1,"DEV_TEST_DEPLOY_PLAN.md names the cat-file rule, the node_modules Junction rule and the two stale deploy documents",U-05;F-A12-2;F-A12-3;F-A12-6;M-A12-1,"test ""$(git grep -h -o -E 'git cat-file blob|Junction|VERCEL_DEPLOY_OWNER_GUIDE\.md|R72_DEPLOY_RITUAL\.md' -- ai-os/projexa-build-001/DEV_TEST_DEPLOY_PLAN.md | awk '!s[$0]++{n++} END{print n+0}')"" = ""4""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-106,1,"Triage decision recorded for the three failing scheduled workflows (decision only, no workflow change)",U-08;F-A12-1,"test ""$(git grep -h -o -E 'Domain Ownership Drift Check|Email Digest Poll|Claude Nightly Maintenance' -- ai-os/projexa-build-001/DEV_TEST_DEPLOY_PLAN.md | awk '!s[$0]++{n++} END{print n+0}')"" = ""3""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-107,1,Finding recorded: AGENTS.md Rule 9 names a Guardrail Presence Check job and scripts/check-guardrail-presence.mjs that do not exist on main,U-05;F-A07-1;AGENTS-R9,"test ""$(git grep -c -F 'check-guardrail-presence.mjs' -- ai-os/projexa-build-001/OWNER_QUESTIONS.md | awk -F: '{s+=$2} END {print (s>0)}')"" = ""1""",EXIT 0,pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-108,1,"[EXIT] Plan package linter passes (register format, 5 phase gates, coverage, banned words, D-05, D-07, D-08)",U-05;WO1.4;D-03;D-04;D-05;D-07;D-08,python ai-os/projexa-build-001/lint_plan.py ai-os/projexa-build-001,"EXIT 0; stdout last line ""SUMMARY FAILS=0""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 1s",no
BR-109,1,"SQL assertion runner scripts/verify/sql-assert.mjs: guard tests plus exit codes 2, 3 and 4 without a database and 0 and 1 against a live connection (with no VERIFY_DATABASE_URL four tests are skipped and the 36-pass check fails)",U-05;WO1.4,bun test --isolate ./src/lib/verify/sql-safety.test.ts ./src/lib/verify/sql-assert.exit-codes.test.ts,"EXIT 0; output contains "" 0 fail""; output contains "" 36 pass""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 6.1s",no
BR-110,1,"[EXIT] Sitemap provenance header (repo, main_sha, generated_utc, route_count, module_count on lines 1-5) equals the projexa git tree at main_sha, plus a separate compliance-tracker table of 287 routes [creates scripts/verify/sitemap.sh]",U-02;WO1.1;D-01;M-A01-1;F-A01-2;F-A01-3;F-A01-5,bash scripts/verify/sitemap.sh,"EXIT 0; stdout ""SITEMAP_OK route_count=310 module_count=109 ct_table_routes=287""",pass,"PM run 2026-09-25 on main 6e499240 plus the phase-1 evidence PR (run_rows.ps1); exit 0, 3s",no
