repo,path_or_name,schedule,handler_file,what_it_does,classification,reason,proposed_owner_product
compliance-tracker,vercel.json cron /api/internal/fm-ppm/generate-occurrences/run,0 2 * * *,src/app/api/internal/fm-ppm/generate-occurrences/run/route.ts,"Generates next fm_ppm_occurrences rows for active PPM schedules, marks overdue",PG_CRON,"Pure SQL on compliance tables (fm-ppm-service.ts imports only drizzle-orm + date-fns); prepared supabase/prepared/cost001/01_fm_ppm_generate_occurrences.sql, not applied (0 compliance.cron_* functions live)",veridian-compliance
compliance-tracker,vercel.json cron /api/internal/loops/run,0 3 * * *,src/app/api/internal/loops/run/route.ts,"Runs 11+ loop audits, LLM-response-cache purge, Sheets projection into loop_executions",GITHUB_ACTIONS,Imports llm-response-cache and 14 lib/loops/* audits (LLM + embeddings + Sheets); needs the TS stack; already an option in cost001-cron-runner.yml,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/instruction-audit/run,0 4 * * *,src/app/api/internal/instruction-audit/run/route.ts,LLM-judges overdue instruction commitments,GITHUB_ACTIONS,Imports llm-client + ai-router/mother-router; TS/LLM stack; option in cost001-cron-runner.yml,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/metric-alerts/run,0 5 * * *,src/app/api/internal/metric-alerts/run/route.ts,"Evaluates metric alert rules, ticket SLA breaches and escalations, task overdue and reprioritise, cost cap",PG_CRON,"DB-only checks (metric-alert-service.ts imports only drizzle-orm); prepared 04_metric_alerts.sql (6 fns + wrapper), not applied",veridian-compliance
compliance-tracker,vercel.json cron /api/internal/the-firm/deadline-digest/run,0 6 * * *,src/app/api/internal/the-firm/deadline-digest/run/route.ts,"Counts upcoming deadlines per the_firm org; console.log only, no write or notify",KILL,firm-practice-dashboard-service.ts has 0 insert/update/notify calls and 1 console.*; nothing consumes the output,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/secrets-audit/run,0 7 * * *,src/app/api/internal/secrets-audit/run/route.ts,Checks that 9 required env vars exist in the running Vercel process,VERCEL,Its purpose is the Vercel runtime env itself; cannot be evaluated from pg_cron or GitHub Actions; 1 daily invocation,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/the-firm/recur-engagements/run,30 7 * * *,src/app/api/internal/the-firm/recur-engagements/run/route.ts,Clones next-period engagement for each the_firm engagement whose nextOccurrenceDate arrived,PG_CRON,DB-only (firm-engagement-service.ts imports only drizzle-orm); prepared 07_the_firm_recur_engagements.sql; owner decision on month-end clamp vs overflow,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/audit-cadence/run,15 8 * * *,src/app/api/internal/audit-cadence/run/route.ts,Flags failed activity_log rows for re-audit,PG_CRON,DB-only (audit-cadence-scan.ts imports only drizzle-orm); prepared 08_audit_cadence.sql; owner decision on 3h vs 24h window,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/ai-performance-report/run,0 1 * * *,src/app/api/internal/ai-performance-report/run/route.ts,"Aggregates AI performance into returned JSON, no persistence",KILL,ai-performance-report-service.ts has 0 writes/notify; output is only returned to the caller,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/task-nudge-digest/run,0 8 * * *,src/app/api/internal/task-nudge-digest/run/route.ts,One batched notification per user for overdue and due-soon tasks,PG_CRON,"DB-only notification insert, no LLM; prepared 10_task_nudge_digest.sql; duplicates metric-alerts task-overdue so keep one",veridian-compliance
compliance-tracker,vercel.json cron /api/internal/escalations-report/run,15 1 * * *,src/app/api/internal/escalations-report/run/route.ts,"Regex-parses chat rows into counts, returned only",KILL,report-cadence-service.ts has 0 writes/notify; on-demand generator can stay,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/recommendations-report/run,30 1 * * *,src/app/api/internal/recommendations-report/run/route.ts,"Groups loop_improvements, returned only",KILL,"Same report-cadence-service.ts, 0 writes/notify",veridian-compliance
compliance-tracker,vercel.json cron /api/internal/risk-trends-report/run,45 1 * * *,src/app/api/internal/risk-trends-report/run/route.ts,"Buckets activity_log risk by day, returned only",KILL,"Same report-cadence-service.ts, 0 writes/notify",veridian-compliance
compliance-tracker,vercel.json cron /api/internal/dispatch-completion-monitor/run,30 8 * * *,src/app/api/internal/dispatch-completion-monitor/run/route.ts,"Per org finds stuck dispatches, LLM-classifies, escalates, logs to monitor_execution_log",GITHUB_ACTIONS,Imports llm-client + orchestra-model-resolver; option in cost001-cron-runner.yml,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/report-schedules/run,45 8 * * *,src/app/api/internal/report-schedules/run/route.ts,Evaluates user report_schedules and inserts notifications,PG_CRON,DB-only (report-schedule-service.ts imports only drizzle-orm); prepared 15_report_schedules.sql at hourly; report-body attachment vs body-less notice is an owner decision,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/capability-audit/run,0 9 * * *,src/app/api/internal/capability-audit/run/route.ts,LLM audits due task capabilities via SECURITY DEFINER RPCs,GITHUB_ACTIONS,capability-audit-service.ts (44KB) calls advisory-dispatch/LLM; needs TS stack; option in cost001-cron-runner.yml,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/exchange-rate-refresh/run,30 9 * * *,src/app/api/internal/exchange-rate-refresh/run/route.ts,Fetches open.er-api.com rates per org base currency and upserts erp_exchange_rates,EDGE_FN_VIA_PG_CRON,"Only HTTP fetch + upsert, no LLM, no Node-only package; pg_net 0.20.3 is installed now (PM handout of 22 Sep said absent) so the DPDP pattern applies; fallback GITHUB_ACTIONS; live erp_exchange_rates rows = 0 while 10 orgs have a non-INR base currency",projexa (BOQ multi-currency) and shared
compliance-tracker,vercel.json cron /api/internal/orchestra-log-purge/run,45 9 * * *,src/app/api/internal/orchestra-log-purge/run/route.ts,Nulls orchestra_executions payloads older than 90 days,PG_CRON,DB-only single UPDATE; prepared 18_orchestra_log_purge.sql,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/routing-accuracy-report/run,0 1 * * 1,src/app/api/internal/routing-accuracy-report/run/route.ts,"Weekly routing-accuracy computation, console.warn only",KILL,routing-accuracy-report-service.ts has 0 writes and 1 console.warn; same function is served on demand by /api/orchestra/routing-accuracy,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/ai-reduction-snapshot/run,0 2 1 * *,src/app/api/internal/ai-reduction-snapshot/run/route.ts,Monthly INSERT..SELECT snapshot of AI usage,PG_CRON,One INSERT..SELECT (ai-reduction-service.ts imports only drizzle-orm); prepared 20_ai_reduction_snapshot.sql,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/cost-anomalies/run,15 9 * * *,src/app/api/internal/cost-anomalies/run/route.ts,"Ratio-based daily cost anomaly check, returned only",KILL,cost-anomaly-service.ts has 0 writes/notify; nothing reads the returned value,veridian-compliance
compliance-tracker,vercel.json cron /api/internal/idle-ai-capacity/run,"0 10 1 1,4,7,10 *",src/app/api/internal/idle-ai-capacity/run/route.ts,"Quarterly unused-model-config report, returned only",KILL,idle-ai-capacity-service.ts has 0 writes/notify; PM handout records 0 BYO configs (not re-verified by A07),veridian-compliance
compliance-tracker,vercel.json cron /api/internal/pipeline-stuck-deal-digest/run,50 9 * * *,src/app/api/internal/pipeline-stuck-deal-digest/run/route.ts,One notification per deal owner for deals stuck 30+ days in a stage,PG_CRON,DB-only notification insert; prepared 23_pipeline_stuck_deal_digest.sql; needs dedup or it re-notifies daily,veridian-compliance
