repo,file,line,what,calls,classification,reason
FChecklist/projexa@e88b53e,src/lib/email/send.ts,41,Resend SDK client.emails.send (sole outbound email path in projexa; RESEND_API_KEY),resend,MOVE_TO_EDGE,Plain HTTPS to api.resend.com; precedent: supabase/functions/dpdp-monday-email/index.ts:124-131 already POSTs api.resend.com from Deno; secret moves to Edge secrets
FChecklist/projexa@e88b53e,src/lib/email/digest.ts,240,"buildAndSendDigest: sendEmail per membership (digest body, action-token links, reply-to token)",resend,MOVE_TO_EDGE,"Scheduled, nobody logged in (Addendum: pg_cron to pg_net to Edge); no LLM; needs DB writes (email_digest_run/delivery/item) via supabase-js or RPC instead of Drizzle; node:crypto randomBytes is available in Deno"
FChecklist/projexa@e88b53e,src/lib/email/digest.ts,277,runDigestCadence: loops due org schedules and calls buildAndSendDigest; digest.ts:12 also imports callVeridianResult (HTTP to compliance-tracker),resend + HTTP to compliance-tracker,MOVE_TO_EDGE,"Batch job under the 400s paid wall clock; work is network wait not CPU; idempotent via unique (schedule_id, local_date) claim so a retry is safe"
FChecklist/projexa@e88b53e,src/app/api/internal/email-digest-cadence/run/route.ts,14,[removed from the public copy: see the private KT folder],resend (indirect),KILL,Route exists only to be poked by a scheduler; once E-04/E-05 pass the scheduler is pg_cron and this route has no caller. Delete after E-05 passes
FChecklist/projexa@e88b53e,vercel.json,6,crons: /api/internal/email-digest-cadence/run daily 0 8 * * *,resend (indirect),KILL,Redundant: .github/workflows/email-digest-poll.yml already hits the same endpoint every 15 min and the run is idempotent (workflow header comment); E-05 requires removal from vercel.json
FChecklist/projexa@e88b53e,.github/workflows/email-digest-poll.yml,46,[removed from the public copy: see the private KT folder],resend (indirect),KILL,Replaced by one pg_cron job (cron.job jobname like projexa-%) calling the Edge Function; otherwise keeps a GitHub Actions cost and a secret in GitHub
FChecklist/projexa@e88b53e,src/app/api/email/inbound/route.ts,164,sendAcknowledgement calls sendEmail after applying a Postmark inbound reply,resend,STAY,"Inbound webhook parses the reply, validates verbs and writes via Drizzle in one request under Postmark retry rules; move only after the digest path proves the pattern. Not an LLM call"
FChecklist/projexa@e88b53e,src/app/api/assistant/route.ts,43,POST /assistant proxied to compliance-tracker via callVeridian (also line 83),compliance-tracker /api/v1/projexa/assistant (LLM behind it),STAY,"projexa holds no provider key by CI rule (scripts/check-no-provider-api-keys.mjs:40-60); this is an HTTP proxy, the LLM call is in the compliance-tracker rows below"
FChecklist/projexa@e88b53e,src/app/api/classify/route.ts,45,POST /classify preview proxied via callVeridian,compliance-tracker /api/v1/projexa/classify (L1 LLM behind it),STAY,Proxy only; no provider call in projexa
FChecklist/projexa@e88b53e,src/app/api/tasks/route.ts,74,POST/GET /tasks proxied via callVeridian (submission pipeline),compliance-tracker /api/v1/projexa/tasks,STAY,Proxy only; no provider call in projexa
FChecklist/projexa@e88b53e,src/app/api/discuss/route.ts,16,POST /discuss proxied via callVeridian,compliance-tracker /api/v1/projexa/discuss (construction-ai-service callLLM),STAY,Proxy only
FChecklist/projexa@e88b53e,src/app/api/ai/[token]/route.ts,112,Public AI link GET: reads /assistant dashboard snapshot from compliance-tracker,compliance-tracker (no LLM in this hop),STAY,Read-only snapshot text for an external AI; no LLM or email call in projexa; the external AI is the LLM
FChecklist/projexa@e88b53e,src/app/api/ai/apply/route.ts,83,"AI-proposal apply: validates and PATCHes /tasks/{id} via callVeridianResult (lines 83, 144)",compliance-tracker HTTP,STAY,No LLM call; authenticated write with per-line validation and audit-log insert via Drizzle
FChecklist/compliance-tracker@025eea0,src/lib/llm-client.ts,448,callOpenAICompatible fetch (groq/openai/openrouter/cerebras switch at 593-600); anthropic fetch :496; google fetch :553,openrouter|groq|cerebras|openai|anthropic|google,MOVE_TO_EDGE,"Pure fetch transport, portable to Deno; single blocker is line 104 execFileAsync python3 supervision script (existsSync at 69), Node/host only, must be dropped from the Edge copy"
FChecklist/compliance-tracker@025eea0,src/lib/llm-client.ts,690,"callLLMVision fetches (openai-compatible :690, anthropic :708, google :737, provider switch :761-771)",openrouter|groq|cerebras|openai|anthropic|google,MOVE_TO_EDGE,Image passed as base64 in the body; the 256MB Edge memory limit binds for large drawings; CPU limit excludes network wait
FChecklist/compliance-tracker@025eea0,src/lib/ai/providers/openrouter.ts,62,L1 classify via callLLMJson (line 90 is L2 analyse); OPENROUTER_API_KEY at line 24,openrouter,MOVE_TO_EDGE,"Short JSON call taking seconds; only extra dependency is resolvePipelineModel (level-model-registry, a platform.pipeline_level_models read) which can be an RPC. Reached by projexa assistant, classify, tasks, phrase-map promote, plus mcp/[token] (import graph)"
FChecklist/compliance-tracker@025eea0,src/lib/ai/providers/claude-cli.ts,15,claudeCliProvider: node:child_process spawn of local claude -p binary (dev and owner only),claude-cli,STAY,Edge Functions cannot run a local CLI binary; runs on owner laptop or server only; adapter.ts:78 refusal limits it to RAJAT_USER_ID
FChecklist/compliance-tracker@025eea0,src/lib/ai/providers/claude-cli-remote.ts,62,[removed from the public copy: see the private KT folder],claude-cli bridge,STAY,The far end is the owner laptop or server CLI bridge; the HTTP hop could run in Edge but the dependency on that bridge being online does not go away. Default-provider choice is an open owner decision (R80 AID-02/AID-03)
FChecklist/compliance-tracker@025eea0,src/lib/ai/adapter.ts,161,getAiProvider(): selects openrouter or claude-cli by AI_PROVIDER env (default claude-cli),openrouter|claude-cli,STAY,"Selector, not a call; moves with whichever provider file moves"
FChecklist/compliance-tracker@025eea0,src/lib/pipeline/level1.ts,97,runLevel1: getAiProvider().classify for unresolved segments (105); MIN_CONFIDENCE 0.8,openrouter|claude-cli,MOVE_TO_EDGE,"The only in-request AI in the pipeline; called from run-submission.ts which is Drizzle/withTenantContext heavy so only the classify() call moves, not the pipeline"
FChecklist/compliance-tracker@025eea0,src/lib/ai/batch/analyse.ts,182,"L2 batch analyse(): getAiProvider, clusterGaps over last 24h of compliance.gap_log (second call at 198); entry projexa/phrase-map/[id]/promote/route.ts",openrouter,STAY,Clusters rows read from the DB via Drizzle and promotes phrase maps in one job; CPU-bound clustering risks the 2s Edge CPU limit
FChecklist/compliance-tracker@025eea0,src/lib/task-execution-engine.ts,1866,"Engine LLM calls callLLMJson at 1866, 2264, 2275, 2327; entry projexa/assistant/route.ts (import depth 1)",openrouter|groq|cerebras|anthropic,STAY,"2,300+ line engine over withTenantContext and a 5-connection pool (CLAUDE.md nested-transaction gotcha); moving it means a DB-pool rewrite. Only the leaf LLM calls can move, behind an Edge LLM function"
FChecklist/compliance-tracker@025eea0,src/lib/ai-router/mother-router.ts,787,callLLMWithSupervision: callLLM plus supervision (uses the llm-client python3 supervision path),openrouter|groq|cerebras|anthropic,STAY,Depends on DB model resolution and the Node-only supervision script; not a leaf call
FChecklist/compliance-tracker@025eea0,src/lib/services/construction-ai-service.ts,63,"Construction AI: callLLMVision 63, 271, 303; callLLMJson 120, 249, 324; callLLM 368; entries projexa/ai/diff-drawings, estimate-progress, progress-summary, risk-detection, discuss",openrouter|groq|cerebras|anthropic,MOVE_TO_EDGE,"Extraction workload: long network wait, little CPU. Prerequisite is RLS/tenant scoping (E-06/E-07) because the service reads drawings and progress via withTenantContext today"
FChecklist/compliance-tracker@025eea0,src/lib/services/veri-meeting-service.ts,492,generate-intelligence: callLLMJson over a meeting transcript; entry projexa/veri-meetings/[id]/generate-intelligence,openrouter|groq|cerebras|anthropic,MOVE_TO_EDGE,Text-only single call; result is one row update
FChecklist/compliance-tracker@025eea0,src/lib/services/crm-service.ts,1169,"CRM AI callLLMJson at 1169, 1432, 1503, 1567; entries projexa leads and customers routes",openrouter|groq|cerebras|anthropic,MOVE_TO_EDGE,"Four independent leaf calls inside a 1,600+ line service; move only the leaf calls"
FChecklist/compliance-tracker@025eea0,src/lib/services/report-engine-service.ts,2546,AI report definition callLLMJson; entries projexa/reports/definitions/[id]/run and reports/catalog,openrouter|groq|cerebras|anthropic,STAY,"Single leaf call inside a DB-bound report engine of about 2,600 lines; low value to move"
FChecklist/compliance-tracker@025eea0,src/lib/embeddings.ts,66,"generateEmbedding: fetch openrouter.ai/api/v1/embeddings (also :250) and api.groq.com embeddings (:160, :214); callers memory-service.ts:527,546,555 and assistant-memory-service.ts:23,38",openrouter|groq,MOVE_TO_EDGE,Pure fetch; the embedding cache and pgvector writes are DB calls so only the fetch moves
FChecklist/compliance-tracker@025eea0,src/lib/services/memory-service.ts,527,"createMemoryRecord and search embeddings at 527, 546, 555",openrouter|groq (via embeddings.ts),STAY,"Append-only guard, dedup constraints and supersede logic live in this DB-bound service (CLAUDE.md R71/R72); only the embedding fetch is an Edge candidate, covered by the embeddings.ts row"
FChecklist/compliance-tracker@025eea0,src/app/api/mcp/[token]/route.ts,58,"External AI-link submission: runSubmission (lines 58, 68) then pipeline then level1",openrouter|claude-cli,STAY,"Public token route whose job is DB pipeline work; DPDP precedent supabase/functions/dpdp-ai-link serves static law/manual content, not tenant pipeline writes. Reassess after the RLS phase"
FChecklist/compliance-tracker@025eea0,src/lib/gst/ai-review-report.ts,54,GST AI review callLLMJson,openrouter|groq|cerebras|anthropic,STAY,Not a PROJEXA entry: importers are gst-reconciliation routes and gst-reconciliation-service; listed because it is reachable through shared imports
