requirement_id,function_ids,way,note
R-40,create_progress_category,link-l1-write,"the category a work activity sits in; create_activity (WP-07) then names the activity; both are needed before record_work_progress on a new project"
R-46,update_progress_entry,link-l1-write,"corrects a mis-keyed entry in place (the service re-derives the linked schedule completion); it does not add a second entry, so whether R-46 wants a kept history is a question for the PM"
R-47,update_progress_entry,link-l1-write,"percentComplete above 100 is refused by the service (400); the executor passes it through"
R-48,get_daily_progress_report;create_site_diary,link-l0-read;link-l1-write,"entries and the names of the day's documents are readable; site photos of PROJEXA's own database (work_progress_photos) are not reachable from the link, and the report shows document names only"
R-97,create_rfi,link-l1-write,"indirect only: an RFI is where a scope question is raised; the change order itself is wave 2 and wave 7"
R-C07,record_attendance_batch;update_roster_entry,link-l1-write;link-l2-draft,"attendance sheet for many workers in one call; a change to a worker or a daily rate is a draft the person confirms; day costs and rates are null below the manager rank"
R-C08,record_material_issue;create_material;void_material_receipt;get_material_cost_report,link-l1-write;link-l2-draft;link-l0-read,"issue out of site stock (on-hand enforced), a new material and a voided receipt are drafts or direct as listed in the policy, and the cost report is manager rank; record_material_receipt is U-38 and is wave 5's review"
R-C11,get_material_cost_report,link-l0-read,"the material cost report only; the other Revenue / Budget / Actual reports are wave 1 (run_named_report)"
EXC-ITEM-01,create_site_diary,link-l1-write,"the capture side: work done can be written to the diary; the detector itself is wave 6 (get_project_exceptions)"
EXC-ITEM-05,create_rfi;answer_rfi;close_rfi;create_submittal;review_submittal,link-l1-write;link-l2-draft,"the RFI and submittal half of stuck approvals; the e-signature half (change orders) is wave 7"
EXC-ITEM-08,create_site_diary,link-l1-write,"the capture side only"
EXC-ITEM-18,record_material_issue,link-l1-write,"an issue names the BOQ line it is booked against; the BOQ line must be on the project (refused otherwise); the detector is wave 6"
EXC-ITEM-19,record_material_issue,link-l1-write,"the capture side; the issue ledger is what the detector reads"
EXC-ITEM-20,create_site_diary,link-l1-write,"the capture side: one entry per project per day, a second is refused (ALREADY_RECORDED)"
EXC-ITEM-21,update_roster_entry,link-l2-draft,"the roster is editable; there is still no writer for the roster's employee link (employee_id), so the exception cannot be closed from the link"
EXC-ITEM-24,create_punch_list_item;mark_punch_item_ready;verify_punch_item_closed,link-l1-write;link-l2-draft,"snags can be raised, marked ready and verified closed by an independent person (manager rank, draft on a link); retention release is ERP and not on a link"
EXC-ITEM-26,create_site_diary,link-l1-write,"the capture side only"
EXC-ITEM-27,record_material_issue,link-l1-write,"the capture side only"
EXC-ITEM-28,update_progress_entry,link-l1-write,"the fix side of a progress regression: the entry can be corrected; the detector is wave 6"
