id,area,title,source,verify_command,expected_output,status,evidence_ref,owner_blocked
AW-001,gov,BUILD-002 claim is present in ai-os/boss/ACTIVE-CLAIMS.yaml on main,WP-00,git grep -c -F BUILD-002 origin/main -- ai-os/boss/ACTIVE-CLAIMS.yaml,count >= 1,pending,,no
AW-002,gov,New objects (ai-work-link-exec and the new SQL functions) each have one row in ai-os/SHARED_BOUNDARY.md before they are created,WP-00,node scripts/verify/build002-register-check.mjs --shared-boundary,EXIT 0,pending,,no
AW-003,gov,This register parses: unique ids and every verify_command is one line,WP-00,node scripts/verify/build002-register-check.mjs --lint,EXIT 0,pending,,no
AW-004,gov,Every one of the 111 requirement ids maps to a way and a function or an explicit recorded exclusion (coverage matrix),WP-00;WP-05,node scripts/verify/build002-register-check.mjs --coverage-111,EXIT 0 and unmapped = 0,pending,,no
AW-101,upload,The raw ZOOMIES workbook is read by the deterministic reader: 50 priced lines totalling 1388480 plus 3 flagged lump-sum lines totalling 207800 reconcile to 1596280,WP-01,bun test --isolate src/lib/ingest/multisheet-bill-reader.test.ts,0 fail,pending,,no
AW-102,upload,The summary sheet is never read as a bill (no line with an amount above the grand total) and per-bill subtotals reconcile,WP-01,bun test --isolate src/lib/ingest/multisheet-bill-reader.reconcile.test.ts,0 fail,pending,,no
AW-103,upload,scope/import accepts the raw ZOOMIES file into an existing project and a single-sheet workbook still imports exactly as before,WP-01,bun test --isolate src/app/api/v1/projexa/scope/import/route.multisheet.test.ts,0 fail,pending,,no
AW-104,upload,Mutation proof: removing the reconciliation check makes AW-101 fail,WP-01,bash scripts/verify/mutation-run.sh multisheet-no-reconcile,mutation detected and tree restored,pending,,no
AW-111,upload,Digest keeps row breaks and merged-cell text and cells up to 2000 characters (terms and payment schedule survive),WP-02,bun test --isolate src/lib/services/document-extraction-contract.test.ts,0 fail,pending,,no
AW-112,upload,Extraction output schema carries controlTotals areas client currency paymentTerms questions and a reconciliation gate rejects a wrong total,WP-02,bun test --isolate src/lib/services/document-extraction-reconcile.test.ts,0 fail,pending,,no
AW-113,upload,Two areas produce ONE BOQ with area-prefixed categories and item codes unique across sheets,WP-02,bun test --isolate src/lib/services/document-extraction-areas.test.ts,0 fail,pending,,no
AW-114,upload,Lines with a quantity and no rate are flagged for a question and never created as zero-priced lines,WP-02,bun test --isolate src/lib/services/document-extraction-questions.test.ts,0 fail,pending,,no
AW-115,upload,A planted prompt-injection inside a ZOOMIES-shaped workbook creates nothing,WP-02,bun test --isolate src/lib/services/document-extraction-service.injection.test.ts,0 fail,pending,,no
AW-201,project,create_project creates a shell project attributed to the person and update_project renames and fills it (registry and link),WP-03,bun test --isolate src/lib/pipeline/executor-project.test.ts,0 fail,pending,,no
AW-202,boq,create_boq on the link is a level-2 draft; lineItems is a declared parameter; per-function body cap 64 KB,WP-04,bun test --isolate src/lib/pipeline/executor-boq-payload.test.ts,0 fail,pending,,no
AW-203,boq,add_boq_lines takes at most 25 lines per batch and a replay of the same boq id and batch number stores one write,WP-04,bun test --isolate src/lib/pipeline/executor-boq-batches.test.ts,0 fail,pending,,no
AW-204,boq,seal_boq answers TOTAL_MISMATCH with the diffs when the AI's control totals differ and seals when they match (ZOOMIES 1343445 + 252835 = 1596280),WP-04,bun test --isolate src/lib/pipeline/executor-boq-seal.test.ts,0 fail,pending,,no
AW-205,boq,A member-rank link reads BOQ lines with every money value null and cannot call seal_boq,WP-04,bun test --isolate src/lib/pipeline/executor-boq-redaction.test.ts,0 fail,pending,,no
AW-301,coverage,Wave 1 functions (schedule reports milestones) validate params refuse another project's ids and respect rank,WP-05a,bun test --isolate src/lib/pipeline/coverage-wave1.test.ts,0 fail,pending,,no
AW-302,coverage,Wave 2 (BOQ import change orders site instructions billing reads; create_boq is on links since WP-04) as above,WP-05a,bun test --isolate src/lib/pipeline/coverage-wave2.test.ts,0 fail,pending,,no
AW-303,coverage,Wave 3 (RFI submittal punch list site diary) as above,WP-05c,bun test --isolate src/lib/pipeline/coverage-wave3.test.ts,0 fail,pending,,no
AW-304,coverage,Wave 4 (progress activities attendance materials) as above,WP-05d,bun test --isolate src/lib/pipeline/coverage-wave4.test.ts,0 fail,pending,,no
AW-305,coverage,Wave 5 (meetings drawings timesheets) as above,WP-05e,bun test --isolate src/lib/pipeline/coverage-wave5.test.ts,0 fail,pending,,no
AW-306,coverage,Wave 6 (exceptions baselines variance) as above,WP-05f,bun test --isolate src/lib/pipeline/coverage-wave6.test.ts,0 fail,pending,,no
AW-307,coverage,Waves 8 and 9 (permits wiki mood boards FF&E floor plans) as above,WP-05g,bun test --isolate src/lib/pipeline/coverage-wave8-9.test.ts,0 fail,pending,,no
AW-308,coverage,Wave 7 (progress claims KPI submit for approval) exist as level-2 drafts only and no function writes an approval on its own,WP-05h,bun test --isolate src/lib/pipeline/coverage-wave7.test.ts,0 fail,pending,,no
AW-309,coverage,Every function on a link is generated from one registry and the generated files are current (no hand edits),WP-05,bun scripts/gen-ai-link-registry.ts --check,EXIT 0; prints "ai-link registry up to date",pending,,no
AW-310,coverage,The manual stays within its size budget with the full function list (grouped catalogue with paging),WP-05,bun test --isolate src/lib/services/ai-work-link-manual-size.test.ts,0 fail,pending,,no
AW-311,coverage,Excluded classes stay excluded (platform admin deletes secrets model calls org-wide reads),WP-05,bun test --isolate src/lib/pipeline/coverage-exclusions.test.ts,0 fail,pending,,no
AW-312,coverage,The 8 exception items with no write path have a service and a function or a recorded reason,WP-05f,node scripts/verify/build002-register-check.mjs --exceptions,EXIT 0,pending,,no
AW-321,records,About 20 new Tier-1 record kinds read through the link with money columns hidden below rank 3,WP-06,bun test --isolate src/lib/services/ai-work-link-records-v2.test.ts,0 fail,pending,,no
AW-322,records,The documents kind returns metadata (drawing number revision permit fields),WP-06,bun test --isolate src/lib/services/ai-work-link-records-documents.test.ts,0 fail,pending,,no
AW-331,fix,record_work_progress honours remarks and entryDate and works on a project with no activity,WP-07,bun test --isolate src/lib/pipeline/executor-work-progress.test.ts,0 fail,pending,,no
AW-401,mint,Edge /mint creates a link only for a signed-in person on a project they can read and the token is returned once and never logged,WP-08,bun test --isolate src/lib/services/ai-work-link-mint.test.ts,0 fail,pending,,no
AW-402,mint,/links lists the person's links for the project with expiry and /links/{id}/revoke revokes,WP-08,bun test --isolate src/lib/services/ai-work-link-links.test.ts,0 fail,pending,,no
AW-403,mint,Mint needs a fresh token (issued in the last 15 minutes) and is rate limited,WP-08,bun test --isolate src/lib/services/ai-work-link-mint-limits.test.ts,0 fail,pending,,no
