requirement_id,function_ids,way,note
R-C04,create_mom;update_mom_minutes;add_meeting_action_item;add_meeting_outcome;publish_mom,link_write,"Minutes of meeting: create (level 1), amend the minutes (level 1, history kept), add an action item (level 1, assignee must be a project person), record a project meeting's outcome (level 1), publish and lock (level 2 draft, manager rank, no model pass). A public share link or PDF is not here: a public token link is excluded."
R-C02,create_drawing,link_draft_l2,"Drawing register entry by https link; a current drawing supersedes the previous revision of the same Drawing No., so it is a draft the person confirms. Bytes are not uploaded through a link."
EXC-ITEM-03,create_drawing;set_progress_drawing,link_draft_l2,"create_drawing adds the drawing (read side); set_progress_drawing records which drawing a progress entry was built from and confirms it (AW-312, level 2, rank 2)."
EXC-ITEM-04,create_drawing;set_progress_drawing,link_draft_l2,"Same as EXC-ITEM-03: a superseded drawing may be recorded, the answer says it is no longer the latest version."
R-C16,capture_artifact,link_write_l1,"Save a note on the project (text only, 2000 characters through a link). recall_precedent stays excluded: institutional memory is organisation-scoped."
R-C08,record_material_receipt,link_draft_l2,"Material receipt with quantity, date, reference; the unit cost makes it a draft and it is null in the answer below the manager rank. vendorId is not a link parameter (a supplier is an organisation record)."
R-C12,approve_timesheet;reject_timesheet,link_draft_l2,"The approval half of timesheets: a manager's decision, level 2 draft, manager rank, judged from the person's own row as well."
EXC-ITEM-01,get_project_exceptions,link_read,"Read side of the 28-item report: the item is in the checks, flagged with its records. Manager rank (the details quote amounts)."
EXC-ITEM-02,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-05,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-06,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-07,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-08,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-09,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-13,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-14,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-17,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-18,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-19,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-20,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-22,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-23,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-24,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-25,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-26,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-27,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-28,get_project_exceptions,link_read,"Read side only."
EXC-ITEM-10,get_project_exceptions;record_vendor_dispute,link_draft_l2,"Read side plus the write path that did not exist (AW-312): an open vendor dispute, optionally on one BOQ line and with an amount (money, null below the manager rank in the answer)."
EXC-ITEM-11,get_project_exceptions;record_customer_complaint,link_draft_l2,"Read side plus the write path (AW-312): category work_dispute."
EXC-ITEM-12,get_project_exceptions;record_customer_complaint,link_draft_l2,"Read side plus the write path (AW-312): any open complaint."
EXC-ITEM-15,get_project_exceptions;record_customer_approval,link_draft_l2,"Read side plus the write path (AW-312): the customer's approval of an internally approved BOQ, with an evidence document of the project; level 2, manager rank."
EXC-ITEM-16,get_project_exceptions;record_customer_approval,link_draft_l2,"Same as EXC-ITEM-15."
EXC-ITEM-21,get_project_exceptions;link_roster_employee,pipeline_only,"Read side on a link; the write (link a roster row to an employee profile) is on NO link because an employee id is HR data, not project data. The internal pipeline runs it for a manager."
R-21,compare_boq_revisions,link_read,"Revision variation against the prior revision or any other revision of the project (againstBoqId). Manager rank; cost-visibility rule of the compare route applied."
R-22,compare_boq_revisions,link_read,"The warnings of the comparison name lines removed with progress (the same helper the revision guard uses)."
R-23,compare_boq_revisions,link_read,"As R-22, for quantity reductions."
R-24,compare_boq_revisions,link_read,"The comparison flags a percentage-only change."
R-C13,compare_boq_revisions,link_read,"The negative-variation-against-progress guard is shown as the comparison's warnings."
R-98,compare_boq_revisions,link_read,"Read side of the change-order-to-BOQ comparison; sourceChangeOrderId on create_boq_revision is wave 2."
R-C09,get_project_budget_variance,link_read,"Budget against the ledger for a budget whose cost centre is this project's. Manager rank."
R-C11,get_project_budget_variance,link_read,"One of the reports an AI can read for the project (budget vs actual); the named reports are wave 1."
R-C10,get_gantt_schedule;compare_schedule_baseline;capture_schedule_baseline;update_task,link_read_write,"Schedule depth: the Gantt with critical path, a comparison against a frozen baseline, freezing a baseline (level 2, manager rank) and updating a task (level 1, listed keys only, completion refused on a task whose progress comes from the site)."
R-94,get_gantt_schedule;compare_schedule_baseline;update_task,link_read_write,"Milestones and schedule reads and the task update; milestone create and update are wave 1."
