req_id,source,title,status_in_db,evidence_present,ct_route_module_guess,notes
R-01,REGISTER_80,BOQ Create: BOQ saves without server error,CLOSED | DONE - VERIFIED,Y,v1/projexa/scope (+v1/construction/boq),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-02,REGISTER_80,BOQ Create: Line item amount = QTY x RATE,CLOSED | DONE - VERIFIED,Y,v1/projexa/scope (+v1/construction/boq),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-03,REGISTER_80,BOQ Create: BOQ with title only and zero lines is allowed,CLOSED | DONE - VERIFIED,Y,v1/projexa/scope (+v1/construction/boq),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-04,REGISTER_80,BOQ Create: Missing title rejected naming the field,CLOSED | DONE - VERIFIED,Y,v1/projexa/scope (+v1/construction/boq),components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-10,REGISTER_80,Weighted Sub-Tasks: Sub-task columns exist in production DB,CLOSED | DONE - VERIFIED (production columns confirmed live 2026-09-11 by PM vi...,Y,"v1/construction/boq (line-items, categories)",components TRUE 7/7; UAT rows 3; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-11,REGISTER_80,Weighted Sub-Tasks: Sub-task enterable in create form (Item Code / Parent Item Code / Breakdown %),CLOSED | DONE - VERIFIED,Y,"v1/construction/boq (line-items, categories)",components TRUE 7/7; UAT rows 1; named individually in spec; module column is a GUESS from route/file_path/area vs origin/main dirs
R-12,REGISTER_80,Weighted Sub-Tasks: Sub-task amount = ROOT qty x ROOT rate x breakdown %,"CLOSED | DONE - VERIFIED (break-restore OBSERVED, merged to main)",Y,"v1/construction/boq (line-items, categories)","components TRUE 7/7; UAT rows 3; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
R-13,REGISTER_80,Weighted Sub-Tasks: Sub-task own QTY and RATE ignored,"CLOSED | DONE - VERIFIED (break-restore OBSERVED, merged to main)",Y,"v1/construction/boq (line-items, categories)","components TRUE 7/7; UAT rows 3; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
R-14,REGISTER_80,Weighted Sub-Tasks: Weights NOT forced to sum to 100,"CLOSED | DONE - VERIFIED (break-restore OBSERVED, merged to main)",Y,"v1/construction/boq (line-items, categories)","components TRUE 7/7; UAT rows 3; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
R-15,REGISTER_80,Weighted Sub-Tasks: Running total of child percentages shown per parent,"CLOSED | BUILT IN PROJEXA - CORRECTED BY CHAT 22 AUG (E-112), audited against t...",Y,"v1/construction/boq (line-items, categories)","components TRUE 7/7; UAT rows 1; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
R-16,REGISTER_80,Weighted Sub-Tasks: Child with parent but no percentage rejected,"CLOSED | DONE - VERIFIED (R75 Phase 3, commit b67b853f, PR #1615). Prior status...",N,"v1/construction/boq (line-items, categories)","components TRUE 7/7; UAT rows 4; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
R-17,REGISTER_80,Weighted Sub-Tasks: Parent code matching nothing rejected,"CLOSED | DONE - VERIFIED (R75 Phase 3, commit b67b853f, PR #1615). Prior status...",N,"v1/construction/boq (line-items, categories)","components TRUE 7/7; UAT rows 4; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
R-18,REGISTER_80,Weighted Sub-Tasks: Circular reference rejected without hanging,"CLOSED | DONE - VERIFIED (R74 Phase 13, commit 2ffb521e, PR #1606, R74-RULING-0...",N,"v1/construction/boq (line-items, categories)","components TRUE 7/7; UAT rows 4; spec names this ID only inside a Section-6 heading range, never individually (unanalysed by the spec's own 68-read count); module column is a GUESS from route/file_path/area vs origin/main dirs"
